Hour,Average Calls
0,4.00
1,3.07
2,2.93
3,2.00
4,2.29
5,2.21
6,2.36
7,1.93
8,3.71
9,3.71
10,3.50
11,3.79
12,5.21
13,4.29
14,5.07
15,4.36
16,5.07
17,5.36
18,5.50
19,5.57
20,4.86
21,5.00
22,4.64
23,5.29
