t,mean_iat,,,,,,,
0,316.5517241,,,,,,,
60,437.1428571,,,,,,,
120,612,,,,,,,
180,706.1538462,,,,,,,
240,834.5454545,,,,,,,
300,834.5454545,,,,,,,
360,1147.5,,,,,,,
420,1311.428571,,,,,,,
480,241.5789474,,,,,,,
540,145.7142857,,,,,,,
600,70.6153846,,,,,,,141.2307692
660,69.54545455,,,,,,,139.0909091
720,81.9642857,,,,,,,163.9285714
780,66.52173915,,,,,,,133.0434783
840,72.85714285,,,,,,,145.7142857
900,75.24590165,,,,,,,150.4918033
960,64.6478873,,,,,,,129.2957746
1020,77.79661015,,,,,,,155.5932203
1080,117.6923077,,,,,,,235.3846154
1140,135,,,,,,,270
1200,106.7441861,,,,,,,213.4883721
1260,262.2857143,,,,,,,
1320,316.5517241,,,,,,,
1380,367.2,,,,,,,
